study_accession	sample_accession	run_accession	fastq_md5	fastq_ftp
PRJEB24914	SAMEA104585201	ERR2298662	03bf3c24ef2f670e52292131e3178d21;8cd872e881f8d554060f99ff11c88379	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298662/ERR2298662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298662/ERR2298662_2.fastq.gz
PRJEB24914	SAMEA104585202	ERR2298663	ae4fe9282a8921e67bc20fd13ef1e463;2b1e076ccdfb4692163318459531f6b0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298663/ERR2298663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298663/ERR2298663_2.fastq.gz
PRJEB24914	SAMEA104585203	ERR2298664	c1afd80e5f7f797c5b440fe6d44f51b7;10b0400deca9a20a5578a76f70803a88	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298664/ERR2298664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298664/ERR2298664_2.fastq.gz
PRJEB24914	SAMEA104585204	ERR2298665	7f7cd7c58e27b7755a0c4bb72e5e9d7a;9afc064b1fe7af1c3016b3a97a64a773	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298665/ERR2298665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298665/ERR2298665_2.fastq.gz
PRJEB24914	SAMEA104585205	ERR2298666	1bb4428d57e825962ba843c5e874fdfd;c8525de404e81d0a147c4856e94452a4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298666/ERR2298666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298666/ERR2298666_2.fastq.gz
PRJEB24914	SAMEA104585206	ERR2298667	e61e742681889d2f4b64bd36ece3737d;2eb5a3a1b6bf427ae5081abb075602ea	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298667/ERR2298667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298667/ERR2298667_2.fastq.gz
PRJEB24914	SAMEA104585207	ERR2298668	71d6590aff7766ee4ba5bcfc0ce3f61a;75bd51e660b115881d3dd8bbc50aca17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298668/ERR2298668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298668/ERR2298668_2.fastq.gz
PRJEB24914	SAMEA104585208	ERR2298669	de8ccd8fa2930a43a6196caa3665b80e;a10dbed4b985c77c3b5eeab23facc98c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298669/ERR2298669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298669/ERR2298669_2.fastq.gz
PRJEB24914	SAMEA104585209	ERR2298670	ac5d27ee21e9b2b01c749c92e41997f8;5dfef133eb88d67d2c6044246a1e7280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298670/ERR2298670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298670/ERR2298670_2.fastq.gz
PRJEB24914	SAMEA104585210	ERR2298671	a9c6d8b04c8a1f41a4508f3b9a986995;e44fbe34e1b94083416d8f78a737dba0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298671/ERR2298671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298671/ERR2298671_2.fastq.gz
PRJEB24914	SAMEA104585211	ERR2298672	c3df52863827a1bd94496f6fbc9962d9;66aea98aa65b056a2d590697ab2b3683	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298672/ERR2298672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298672/ERR2298672_2.fastq.gz
PRJEB24914	SAMEA104585212	ERR2298673	b7e26625574685534d422b83cdec5b48;e4cdea897114156611b572eadfddcd8a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298673/ERR2298673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298673/ERR2298673_2.fastq.gz
