Run	Assay Type	BioProject	BioSample	Center Name	common_name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ENA-FIRST-PUBLIC (run)	ENA_first_public	ENA-LAST-UPDATE (run)	ENA_last_update	Experiment	External_Id	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sample_name	sex	SRA Study	Submitter_Id
ERR2298662	WGS	PRJEB24914	SAMEA104585201	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350035	SAMEA104585201	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585201	N701	male	ERP106780	N701
ERR2298663	WGS	PRJEB24914	SAMEA104585202	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350036	SAMEA104585202	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585202	N702	male	ERP106780	N702
ERR2298664	WGS	PRJEB24914	SAMEA104585203	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350037	SAMEA104585203	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585203	N703	female	ERP106780	N703
ERR2298665	WGS	PRJEB24914	SAMEA104585204	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350038	SAMEA104585204	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585204	N704	female	ERP106780	N704
ERR2298666	WGS	PRJEB24914	SAMEA104585205	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350039	SAMEA104585205	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585205	N705	male	ERP106780	N705
ERR2298667	WGS	PRJEB24914	SAMEA104585206	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350040	SAMEA104585206	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585206	N707	male	ERP106780	N707
ERR2298668	WGS	PRJEB24914	SAMEA104585207	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350041	SAMEA104585207	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585207	N710	male	ERP106780	N710
ERR2298669	WGS	PRJEB24914	SAMEA104585208	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350042	SAMEA104585208	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585208	N711	male	ERP106780	N711
ERR2298670	WGS	PRJEB24914	SAMEA104585209	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350043	SAMEA104585209	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585209	N712	female	ERP106780	N712
ERR2298671	WGS	PRJEB24914	SAMEA104585210	OXFORD UNIVERSITY	platypus	public	bam	ena	ena	13/2/2018	13/2/2018	16/11/2018	12/2/2018	ERX2350044	SAMEA104585210	OXFORD UNIVERSITY	OXFORD UNIVERSITY	2018-02-13T17:02:38Z	2018-02-12T03:04:23Z	public	Illumina HiSeq 2500	unspecified	PAIRED	RANDOM	GENOMIC	Ornithorhynchus anatinus	ILLUMINA	2018-02-15T00:00:00Z	SAMEA104585210	N713	male	ERP106780	N713
