Submitter_Id	malegrp	femalegrp	popgrp	related	BioSample
N701	N701	#N/A	N701	#N/A	SAMEA104585201
N702	N702	#N/A	N702	N702	SAMEA104585202
N703	#N/A	N703	N703	#N/A	SAMEA104585203
N704	#N/A	N704	N704	#N/A	SAMEA104585204
N705	N705	#N/A	N705	#N/A	SAMEA104585205
N707	N707	#N/A	N707	#N/A	SAMEA104585206
N710	N710	#N/A	N710	#N/A	SAMEA104585207
N711	N711	#N/A	N711	#N/A	SAMEA104585208
N712	#N/A	N712	N712	N712	SAMEA104585209
N713	#N/A	#N/A	#N/A	N713	SAMEA104585210
N714	N714	#N/A	N714	N714	SAMEA104585211
N715	N715	#N/A	N715	N715	SAMEA104585212
N716	N716	#N/A	N716	#N/A	SAMEA104585213
N717	N717	#N/A	N717	#N/A	SAMEA104585214
N718	#N/A	N718	N718	#N/A	SAMEA104585215
N719	#N/A	#N/A	#N/A	N719	SAMEA104585216
N720	N720	#N/A	N720	#N/A	SAMEA104585217
N721	#N/A	#N/A	#N/A	N721	SAMEA104585218
N722	#N/A	N722	N722	N722	SAMEA104585219
N723	N723	#N/A	N723	#N/A	SAMEA104585220
N724	N724	#N/A	N724	#N/A	SAMEA104585221
N725	#N/A	N725	N725	N725	SAMEA104585222
N726	#N/A	N726	N726	#N/A	SAMEA104585223
N727	#N/A	#N/A	#N/A	N727	SAMEA104585224
N728	N728	#N/A	N728	#N/A	SAMEA104585225
N729	N729	#N/A	N729	N729	SAMEA104585226
N730	N730	#N/A	N730	#N/A	SAMEA104585227
N731	N731	#N/A	N731	#N/A	SAMEA104585228
N732	#N/A	#N/A	#N/A	N732	SAMEA104585229
N733	N733	#N/A	N733	N733	SAMEA104585230
N734	#N/A	#N/A	#N/A	N734	SAMEA104585231
N735	N735	#N/A	N735	N735	SAMEA104585232
N736	#N/A	N736	#N/A	N736	SAMEA104585233
N737	#N/A	N737	N737	#N/A	SAMEA104585234
N738	N738	#N/A	N738	N738	SAMEA104585235
N739	N739	#N/A	N739	#N/A	SAMEA104585236
N740	#N/A	#N/A	N740	N740	SAMEA104585237
N741	#N/A	N741	#N/A	N741	SAMEA104585238
N742	#N/A	#N/A	#N/A	N742	SAMEA104585239
N743	#N/A	N743	N743	#N/A	SAMEA104585240
N744	#N/A	N744	#N/A	N744	SAMEA104585241
N745	#N/A	N745	N745	#N/A	SAMEA104585242
N746	#N/A	N746	N746	#N/A	SAMEA104585243
N747	N747	#N/A	N747	#N/A	SAMEA104585244
N748	N748	#N/A	N748	#N/A	SAMEA104585245
N749	#N/A	#N/A	#N/A	N749	SAMEA104585246
N750	#N/A	N750	N750	N750	SAMEA104585247
N751	#N/A	N751	N751	#N/A	SAMEA104585248
N752	N752	#N/A	N752	N752	SAMEA104585249
N753	#N/A	N753	N753	#N/A	SAMEA104585250
N754	N754	#N/A	N754	#N/A	SAMEA104585251
N755	N755	#N/A	N755	N755	SAMEA104585252
N756	#N/A	N756	#N/A	N756	SAMEA104585253
N757	#N/A	#N/A	#N/A	N757	SAMEA104585254
N758	N758	#N/A	N758	#N/A	SAMEA104585255
N759	#N/A	N759	N759	#N/A	SAMEA104585256
N760	#N/A	N760	#N/A	N760	SAMEA104585257
N761	N761	#N/A	N761	#N/A	SAMEA104585258
