chrom	start	end	nSites	recombRate	CI95LO	CI95HI
NC_041728.1	0	154000	1436	3.6142511309725256e-09	3.4508223660070804e-09	3.777679895937971e-09
NC_041728.1	154000	308000	1383	3.597049781595459e-09	3.4336210166300136e-09	3.7604785465609046e-09
NC_041728.1	308000	462000	1553	3.52312279480751e-09	3.3596940298420647e-09	3.6865515597729556e-09
NC_041728.1	462000	616000	1608	3.5578459280506413e-09	3.394417163085196e-09	3.721274693016087e-09
NC_041728.1	616000	770000	1393	3.6465412119712056e-09	3.4831124470057604e-09	3.809969976936651e-09
NC_041728.1	770000	924000	1379	3.4829190139956882e-09	3.319490249030243e-09	3.646347778961134e-09
NC_041728.1	924000	1078000	1430	3.6412143780501535e-09	3.4777856130847082e-09	3.804643143015599e-09
NC_041728.1	1078000	1232000	1346	3.3884697968398193e-09	3.225041031874374e-09	3.551898561805265e-09
NC_041728.1	1232000	1386000	1441	3.661991421018421e-09	3.4985626560529756e-09	3.8254201859838665e-09
NC_041728.1	1386000	1540000	1499	3.5327577889464217e-09	3.3693290239809764e-09	3.6961865539118674e-09
NC_041728.1	1540000	1694000	1545	3.6074706580953105e-09	3.4440418931298653e-09	3.770899423060756e-09
NC_041728.1	1694000	1848000	1495	3.6125571511704416e-09	3.4491283862049964e-09	3.775985916135887e-09
NC_041728.1	1848000	2002000	1597	3.540276854932438e-09	3.3768480899669925e-09	3.7037056198978835e-09
NC_041728.1	2002000	2156000	1272	3.406017084621919e-09	3.2425883196564736e-09	3.5694458495873645e-09
NC_041728.1	2156000	2310000	1321	3.3554682537611436e-09	3.1920394887956983e-09	3.5188970187265892e-09
NC_041728.1	2310000	2464000	1450	3.594084893780148e-09	3.430656128814703e-09	3.757513658745594e-09
NC_041728.1	2464000	2618000	1527	3.672646916319748e-09	3.509218151354303e-09	3.836075681285194e-09
NC_041728.1	2618000	2772000	1526	3.6283193464525494e-09	3.464890581487104e-09	3.791748111417995e-09
NC_041728.1	2772000	2926000	1423	3.6188627093377823e-09	3.455433944372337e-09	3.782291474303228e-09
NC_041728.1	2926000	3080000	1408	3.640651071234838e-09	3.4772223062693926e-09	3.8040798362002835e-09
NC_041728.1	3080000	3234000	1378	3.49801843325791e-09	3.334589668292465e-09	3.6614471982233558e-09
NC_041728.1	3234000	3388000	1422	3.5916185278528463e-09	3.428189762887401e-09	3.755047292818292e-09
NC_041728.1	3388000	3542000	1344	3.4514055432492773e-09	3.287976778283832e-09	3.614834308214723e-09
NC_041728.1	3542000	3696000	1420	3.626441017956744e-09	3.463012252991299e-09	3.78986978292219e-09
NC_041728.1	3696000	3850000	1506	3.5826027877439284e-09	3.419174022778483e-09	3.746031552709374e-09
NC_041728.1	3850000	4004000	1454	3.6165011826489106e-09	3.4530724176834654e-09	3.779929947614356e-09
NC_041728.1	4004000	4158000	1292	3.3521732736344355e-09	3.1887445086689902e-09	3.515602038599881e-09
NC_041728.1	4158000	4312000	1346	3.3872824875963703e-09	3.223853722630925e-09	3.550711252561816e-09
NC_041728.1	4312000	4466000	1314	3.4548108562264592e-09	3.291382091261014e-09	3.618239621191905e-09
NC_041728.1	4466000	4620000	1447	3.593684904898337e-09	3.430256139932892e-09	3.757113669863783e-09
NC_041728.1	4620000	4774000	1439	3.6173194499839166e-09	3.4538906850184714e-09	3.780748214949362e-09
NC_041728.1	4774000	4928000	1388	3.5998801264704105e-09	3.4364513615049653e-09	3.763308891435856e-09
NC_041728.1	4928000	5082000	1507	3.6188469662259675e-09	3.4554182012605222e-09	3.782275731191413e-09
NC_041728.1	5082000	5236000	1689	3.502814779733758e-09	3.3393860147683126e-09	3.6662435446992035e-09
NC_041728.1	5236000	5390000	1327	3.3826884329922314e-09	3.219259668026786e-09	3.546117197957677e-09
NC_041728.1	5390000	5544000	1360	3.41778955071065e-09	3.254360785745205e-09	3.581218315676096e-09
NC_041728.1	5544000	5698000	1377	3.5331349795254904e-09	3.369706214560045e-09	3.696563744490936e-09
NC_041728.1	5698000	5852000	1438	3.6145493813049124e-09	3.451120616339467e-09	3.777978146270358e-09
