chrname	genacc	chracc	chrsize	krank	offset
chr1	CM014200.1	NC_041728.1	186506016	1	0
chr2	CM014201.1	NC_041729.1	171719663	2	186506016
chr3	CM014202.1	NC_041730.1	141987082	3	358225679
chr4	CM014203.1	NC_041731.1	136094389	4	500212761
chr5	CM014204.1	NC_041732.1	110293030	5	636307150
chr6	CM014205.1	NC_041733.1	51493492	6	746600180
chr7	CM014206.1	NC_041734.1	83338043	7	798093672
chr8	CM014207.1	NC_041735.1	70949814	8	881431715
chr9	CM014208.1	NC_041736.1	61861223	9	952381529
chr10	CM014209.1	NC_041737.1	59444696	10	1014242752
chr11	CM014210.1	NC_041738.1	63506031	11	1073687448
chr12	CM014211.1	NC_041739.1	60456049	12	1137193479
chr13	CM014212.1	NC_041740.1	42294642	13	1197649528
chr14	CM014213.1	NC_041741.1	52889406	14	1239944170
chr15	CM014214.1	NC_041742.1	26375019	15	1292833576
chr16	CM014215.1	NC_041743.1	46397275	16	1319208595
chr17	CM014216.1	NC_041744.1	45536670	17	1365605870
chr18	CM014217.1	NC_041745.1	44684501	18	1411142540
chr19	CM014218.1	NC_041746.1	35120541	19	1455827041
chr20	CM014219.1	NC_041747.1	30535534	20	1490947582
chr21	CM014220.1	NC_041748.1	24514859	21	1521483116
chrX1	CM014221.1	NC_041749.1	125040914	22	1545997975
chrX2	CM014222.1	NC_041750.1	29662106	23	1671038889
chrX3	CM014223.1	NC_041751.1	33863336	24	1700700995
chrX4	CM014224.1	NC_041752.1	8639456	25	1734564331
chrX5	CM014225.1	NC_041753.1	70139320	26	1743203787
chrY1	CM022557.1	NC_053175.1	1234000	27	1813343107
chrY2	CM026824.1	NC_053176.1	4600510	28	1814577107
chrY3	CM026825.1	NC_053177.1	2467712	29	1819177617
chrY4	CM022558.1	NC_053178.1	1018000	30	1821645329
chrY5	CM026826.1	NC_053179.1	2211240	31	1822663329
